Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
,1420,Braine-l'Alleud,house,Residence,299.000,sale,3,123 m²,Yes,No,Yes,,Yes,,,No,
 Neuve 46  ,1640,Sint-Genesius-Rode,house,Residence,515.000,sale,3,192 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
,1150,Sint-Pieters-Woluwe,house,Villa,5.950.000,sale,7,751 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,9320,Nieuwerkerken,house,Residence,265.000,sale,3,150 m²,No,No,Yes,Yes,No,,Yes,No,No
 Baron Ruzettelaan 144  ,8310,Assebroek,house,Mixed,279.000,sale,2,,Yes,No,No,,No,,312 m²,No,
 Leenhof Lot 2  ,8310,Assebroek,house,Villa,729.300,sale,4,220 m²,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No
 Strombeeksesteenweg 10  ,1800,Vilvoorde,house,Residence,295.000,sale,2,120 m²,No,No,No,,Yes,Yes,,No,
 Delaeystraat 71  ,8830,Hooglede,house,Residence,209.000,sale,4,185 m²,No,No,No,,No,,No,No,On contract
,8540,Deerlijk,house,Residence,ne,sale,3,255 m²,Yes,No,No,,No,,No,No,On contract
 Oude Barrier 22 C ,3583,Paal,house,Residence,349.000,sale,3,129 m²,No,No,Yes,Yes,Yes,Yes,,No,
 Elfde Julilaan 8  ,8860,Lendelede,house,Villa,290.000,sale,3,,Yes,No,No,,No,,No,No,
,6840,Neufchâteau,house,Residence,89.000,sale,2,80 m²,Yes,No,Yes,,No,,Yes,No,
 Konijnenberg 50  ,9308,Gijzegem,house,Villa,269.000,sale,3,243 m²,No,Yes,Yes,,No,,Yes,No,
 Gijmelbergweg 1  ,3201,Langdorp,house,Villa,850.000,sale,3,200 m²,Yes,No,Yes,Yes,Yes,Yes,,No,No
 Rue Alphonse Lenaerts 78  ,1950,Kraainem,house,Villa,1.090.000,sale,5,270 m²,Yes,No,Yes,,Yes,Yes,Yes,No,
 Oorderseweg 153  ,2180,Ekeren,house,Residence,348.000,sale,4,190 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,
 Beemdekensstraat 7  ,2220,Heist-op-den-Berg,house,Residence,179.000,sale,2,115 m²,No,Yes,No,,No,,67 m,No,1960
 Cederstraat 47  ,9000,Gent,house,Residence,264.000,sale,3,100 m²,Yes,No,No,,Yes,Yes,,No,
 Prinses Marie-Joséplein 12  ,8500,Kortrijk,house,Residence,309.000,sale,4,200 m²,Yes,No,No,,Yes,,Yes,No,
 Herenthoutse steenweg 14  ,2288,Bouwel,house,Residence,334.000,sale,3,192 m²,No,Yes,No,,No,,No,No,No
 Graanstraat lot 2  ,3945,Ham,house,Residence,235.000,sale,4,,No,No,No,,No,,,No,2020
 Graanstraat lot 3  ,3945,Ham,house,Residence,235.000,sale,4,225 m²,No,No,No,,No,,,No,2020
 Graanstraat lot 4  ,3945,Ham,house,Residence,235.000,sale,4,225 m²,No,No,No,,No,,,No,2020
 Genenbemdestraat 1  ,3945,Ham,house,Residence,235.000,sale,4,,No,No,No,,No,,,No,2020
 Peperstraat 22  ,8647,Reninge,house,Residence,199.000,sale,4,210 m²,Yes,Yes,No,,Yes,,,No,On contract
 Jules Persynstraat 42  ,9050,Gentbrugge,house,Residence,329.000,sale,4,138 m²,Yes,No,No,,Yes,,,No,From 31/12/2021
    ,7140,Morlanwelz,house,Residence,297.950,sale,3,,No,No,No,,No,,,No,
,8510,Rollegem,house,Residence,189.000,sale,3,179 m²,Yes,No,No,No,No,,No,No,
 Rabotstraat 83  ,9000,Gent,house,Master,645.000,sale,4,351 m²,Yes,Yes,No,,Yes,,,No,On contract
 Meensesteenweg 410  ,8501,Bissegem,house,Master,329.000,sale,4,220 m²,No,No,No,,No,,Yes,No,
 Commandant Lemaire 96  ,7033,Cuesmes,house,Mixed,250.000,sale,5,560 m²,No,No,Yes,Yes,No,,,No,
 Pastoriestraat 17  ,3945,Ham,house,Residence,649.000,sale,4,452 m²,No,Yes,Yes,,No,,Yes,No,
,6280,Acoz,house,Residence,335.000,sale,2,150 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,
 Dorpsstraat 39  ,8660,Adinkerke,house,Residence,165.000,sale,3,120 m²,Yes,No,Yes,,Yes,,,No,
,7750,Orroir,house,Residence,254.500,sale,3,190 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,256.500,sale,3,190 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,257.000,sale,3,190 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,284.000,sale,3,202 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,255.500,sale,3,194 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,250.000,sale,3,190 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,266.000,sale,3,204 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,253.000,sale,3,190 m²,No,Yes,Yes,,No,,Yes,No,
,7750,Orroir,house,Residence,267.000,sale,3,202 m²,No,Yes,Yes,,No,,Yes,No,
,1120,Neder-Over-Heembeek,house,Residence,300.000,sale,4,115 m²,Yes,No,Yes,,Yes,Yes,Yes,No,No
,1420,Braine-l'Alleud,house,Residence,245.000,sale,2,100 m²,Yes,No,Yes,,Yes,,,No,
 Avenue des Amandiers 6  ,6220,Lambusart,house,Residence,159.000,sale,4,170 m²,No,Yes,Yes,,No,,Yes,No,
 Rue du Château 10   ,1420,Braine-l'Alleud,house,Residence,299.000,sale,3,250 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,
 heembeekstraat   ,1800,Vilvoorde,house,Residence,385.000,sale,3,180 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Rue des Houillères 6  ,4520,Bas-Oha,house,Residence,249.000,sale,3,135 m²,Yes,Yes,Yes,,Yes,Yes,Yes,No,No
 Kuitenberg 41 A ,9920,Lovendegem,house,Residence,ne,sale,3,,No,No,No,,No,,,No,
 Bessemerstraat 165 1 ,3620,Lanaken,house,Residence,267.000,sale,2,122 m²,No,No,No,,No,,Yes,No,1975
 Koning Boudewijnlaan 45  ,9200,Dendermonde,house,Residence,199.000,sale,3,,No,No,No,,No,,,No,
 Aalststraat 203  ,9700,Oudenaarde,house,Residence,269.000,sale,4,124 m²,No,No,No,,No,,5 m,No,1934
 Binnenslag 8  ,9920,Lievegem,house,Residence,270.000,sale,3,245 m²,No,No,No,,No,,,No,1983
 Moldergem 118  ,9630,Zwalm,house,Cottage,375.000,sale,4,118 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1994
 Lobergenbos 17  ,3010,Kessel-Lo,house,Villa,795.000,sale,4,360 m²,Yes,Yes,No,No,No,,,No,To be agreed
 Leebeekpad   ,9000,Gent,house,Residence,444.500,sale,3,141 m²,No,No,No,,Yes,,Yes,No,2020
 Leebeekpad   ,9000,Gent,house,Residence,476.000,sale,4,169 m²,No,No,No,,Yes,,Yes,No,2020
,1357,Hélécine,house,Cottage,399.000,sale,4,7064 m²,Yes,Yes,Yes,,Yes,Yes,Yes,No,No
 Baversstraat 37  ,3700,Tongeren,house,Residence,285.000,sale,4,156 m²,Yes,Yes,No,,No,,,No,
 Grotestraat 218  ,3850,Wijer,house,Residence,339.000,sale,4,225 m²,Yes,No,No,,No,,,No,On contract
 Rietveld 20  ,2640,Mortsel,house,Residence,373.300,sale,2,183 m²,Yes,Yes,No,,No,No,No,No,
 Delaeystraat 120  ,8830,Hooglede,house,Residence,395.000,sale,4,,Yes,Yes,No,,No,,,No,
 Moerkerkestraat 5  ,8000,Brugge,house,Residence,220.000,sale,3,,No,No,No,,No,,,No,
 Schoonwater 73  ,8560,Gullegem,house,Residence,149.000,sale,2,124 m²,Yes,Yes,No,,Yes,,,No,On contract
 Schoonwater 73  ,8560,Gullegem,house,Residence,149.000,sale,2,124 m²,Yes,Yes,No,,Yes,,,No,On contract
 Pylyserlaan 13  ,8670,Koksijde,house,Residence,245.000,sale,3,80 m²,No,No,No,,No,,No,No,On contract
 Kerkhofstraat 22  ,3950,Bocholt,house,Residence,365.000,sale,2,151 m²,Yes,Yes,Yes,Yes,No,,Yes,No,On contract
 Lodewijk van Malestraat 74  ,8310,Sint-Kruis,house,Residence,339.000,sale,4,161 m²,No,No,No,,No,,No,No,On contract
 Hazelaarstraat 50  ,9940,Evergem,house,Residence,279.000,sale,3,133 m²,No,No,No,,No,,No,No,On contract
 Frans Rensstraat 50  ,9000,Gent,house,Residence,249.900,sale,4,90 m²,No,No,No,,No,,No,No,1917
 Bevrijdingslaan 290  ,9000,Gent,house,Residence,359.000,sale,3,140 m²,No,No,No,,No,,No,No,1918
 Bevrijdingslaan 290  ,9000,Gent,house,Residence,359.000,sale,3,140 m²,No,No,No,,No,,No,No,1918
,8830,Hooglede,house,Residence,599.000,sale,3,194 m²,Yes,No,No,,No,,No,No,On contract
,8610,Kortemark,house,Residence,199.000,sale,2,144 m²,Yes,No,No,,No,,No,No,
 Zeshoekstraat 7  ,9190,Stekene,house,Residence,380.000,sale,3,190 m²,Yes,No,No,,No,,Yes,No,
 Rooseveltlaan 69  ,9420,Erpe-Mere,house,Residence,219.000,sale,3,162 m²,Yes,No,No,,No,,,No,
 Tweekerkenstraat 138  ,9620,Zottegem,house,Residence,229.000,sale,3,,Yes,No,No,,No,,,No,
 Plantenstraat 106  ,3500,Hasselt,house,Residence,269.000,sale,3,122 m²,No,No,Yes,Yes,No,,Yes,No,1930
 Leenbosstraat 2 D001 ,8830,Hooglede,house,Residence,258.575,sale,4,149 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,2019
 Leenbosstraat 2 D002 ,8830,Hooglede,house,Residence,258.850,sale,4,140 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,2019
 Leenbosstraat 2 E001 ,8830,Hooglede,house,Residence,258.950,sale,4,145 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,2019
 Leenbosstraat 2 E002 ,8830,Hooglede,house,Residence,271.500,sale,4,145 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,2019
 Holstraat 48  ,8570,Anzegem,house,Villa,698.000,sale,2,200 m²,Yes,Yes,No,,No,,105 m²,No,On contract
 Tiegemberg 29  ,8573,Tiegem,house,Villa,799.000,sale,5,400 m²,Yes,Yes,No,,No,,300 m²,No,On contract
 Tiegemberg 29  ,8570,Anzegem,house,Villa,799.000,sale,5,400 m²,Yes,Yes,No,,No,,300 m²,No,On contract
 Leenbosstraat 2 F003 ,8830,Hooglede,house,Residence,239.125,sale,1,86 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,2019
 Cotthem 16  ,9520,Sint-Lievens-Houtem,house,Residence,625.000,sale,4,258 m²,No,No,No,,No,,1026 m²,No,
 Henry Dunantstraat 3  ,8760,Meulebeke,house,Residence,292.300,sale,3,,No,No,No,,No,,Yes,No,
 Meenseheirweg 15B  ,8800,Roeselare,house,Residence,286.411,sale,3,,No,No,No,,No,,Yes,No,
 Aalstersesteenweg 256  ,9400,Ninove,house,Residence,265.000,sale,3,,Yes,No,No,,Yes,Yes,Yes,No,1936
 Damstraat 20  ,9260,Serskamp,house,Residence,320.000,sale,3,170 m²,No,No,No,,No,,Yes,No,1965
 Paul Wielemanstraat 4  ,8570,Vichte,house,Residence,459.000,sale,4,220 m²,No,No,No,,Yes,Yes,,No,1990
 Langestraat 1  ,8434,Westende,house,Residence,287.458,sale,3,113 m²,No,No,No,,No,,134 m²,No,2021
 Heislagsebaan 130  ,2930,Brasschaat,house,Residence,384.000,sale,4,,No,No,No,,Yes,Yes,Yes,No,
 Eendrachtstraat 42  ,9940,Evergem,house,Residence,298.000,sale,3,165 m²,Yes,No,No,,No,,Yes,No,1932
 Rodenbachlaan 15  ,8760,Meulebeke,house,Residence,230.000,sale,4,145 m²,No,No,No,,No,,,No,
 Expostraat 9  ,9300,Aalst,house,Residence,265.000,sale,3,155 m²,Yes,No,No,,No,,Yes,No,1958
 Steenweg 313  ,9810,Eke,house,Residence,425.378,sale,3,,No,No,No,,No,,4,No,
,9940,Ertvelde,house,Residence,ne,sale,3,,No,No,No,,No,,3,No,
 Bergestraat 106  ,1730,Asse,house,Residence,388.891,sale,3,,No,No,No,,No,,4,No,
 Nederzwijnaarde 73  ,9052,Zwijnaarde,house,Residence,335.315,sale,3,,No,No,No,,No,,3,No,
 Marie Van Brusselstraat 15  ,9140,Temse,house,Residence,381.311,sale,3,,No,No,No,,No,,3,No,
 Kasterstraat 6  ,8572,Kaster,house,Residence,374.165,sale,3,,No,No,No,,No,,4,No,
 Korianderstraat 15  ,9940,Evergem,house,Residence,328.031,sale,3,,No,No,No,,No,,4,No,
 Lusthof 22  ,9840,De Pinte,house,Residence,461.715,sale,3,,No,No,No,,No,,3,No,
 Rue du Paradis 50  ,6980,La Roche-en-Ardenne,house,Residence,520.000,sale,3,187 m²,Yes,No,No,,No,,187 m²,No,On contract
,9150,Kruibeke,house,Residence,462.000,sale,3,190 m²,Yes,Yes,Yes,Yes,No,,Yes,No,2021
 Beenhouwerstraat 15  ,2830,Heindonk,house,Residence,885.000,sale,5,260 m²,No,No,No,,No,,Yes,No,On contract
 Kwikstraat 12  ,3078,Everberg,house,Residence,299.000,sale,150 m²,150 m²,No,No,No,,No,,,No,
 Lindestraat 89  ,1800,Peutie,house,Residence,299.000,sale,3,155 m²,Yes,No,Yes,Yes,No,,Yes,No,
,7370,Dour,house,Residence,135.000,sale,4,160 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2021
,7370,Wihéries,house,Residence,145.000,sale,4,160 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2021
 Violierenlaan 46  ,8400,Oostende,house,Residence,275.000,sale,4,160 m²,Yes,Yes,No,,Yes,Yes,Yes,No,On contract
,4800,Lambermont,house,Residence,795.000,sale,7,456 m²,Yes,No,No,,No,,2600 m²,No,1974
 Weertersteenweg 5A  ,3640,Kinrooi,house,Villa,698.000,sale,4,290 m²,Yes,Yes,No,,No,,1527 m²,No,On contract
 Beekstraat 25  ,1980,Eppegem,house,Residence,419.000,sale,3,,Yes,No,No,,No,,Yes,No,On contract
 Wildernisstraat 1b  ,3530,Houthalen-Helchteren,house,Residence,274.000,sale,3,265 m²,Yes,No,Yes,Yes,No,,Yes,No,2005
,7380,Quiévrain,house,Villa,119.000,sale,2,72 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
 Hundelgemsesteenweg 219  ,9050,Ledeberg,house,Residence,289.000,sale,2,126 m²,Yes,No,No,,No,,Yes,No,On contract
 Onze-Lieve-Vrouwstraat   ,3130,Betekom,house,Residence,399.529,sale,3,207 m²,Yes,No,No,,No,,376 m²,No,
,9820,Merelbeke,house,Residence,464.625,sale,4,240 m²,No,No,No,,No,,,No,
 Rooigemlaan 182  ,9000,Gent,house,Residence,290.000,sale,4,160 m²,Yes,No,No,,No,,,No,On contract
 Brugsespoortstraat 30  ,9000,Gent,house,Residence,450.000,sale,3,190 m²,Yes,No,No,,No,,,No,1755
 Beenhouwerstraat 15  ,2830,Heindonk,house,Residence,885.000,sale,4,250 m²,Yes,No,Yes,,Yes,Yes,Yes,No,No
 Gentsesteenweg 19  ,8530,Harelbeke,house,Residence,155.000,sale,2,122 m²,Yes,No,No,,Yes,Yes,Yes,No,
 Grevensmolenweg 136A  ,3800,Sint-Truiden,house,Villa,699.000,sale,4,,No,No,No,,No,,42 m,No,2020
,1470,Bousval,house,Residence,1.500.000,sale,5,300 m²,Yes,Yes,No,,Yes,Yes,Yes,No,On contract
 Kapelletjesweg 10  ,2280,Grobbendonk,house,Residence,349.000,sale,4,200 m²,No,Yes,No,,No,,No,No,No
 Savooistraat 183  ,9600,Ronse,house,Residence,210.000,sale,2,233 m²,Yes,No,No,,No,,80 m²,No,
 Bosstraat 54  ,8570,Vichte,house,Residence,325.000,sale,3,150 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2020
 Deurnestraat 267/ LOT 2  ,9600,Ronse,house,Residence,279.900,sale,3,146 m²,Yes,No,No,,No,,70 m²,No,2021
 Argendaalstraat 3  ,8510,Bellegem,house,Villa,430.000,sale,3,247 m²,Yes,Yes,No,,No,,1017 m²,No,On contract
 Rapaertstraat   ,8020,Hertsberge,house,Residence,388.500,sale,5,210 m²,Yes,No,No,,Yes,,,No,2021
 Terhulpensesteenweg 637  ,3090,Overijse,house,Residence,435.000,sale,3,130 m²,No,Yes,Yes,,No,,Yes,No,No
 Terlostraat 54  ,1755,Gooik,house,Residence,374.886,sale,2,164 m²,No,No,No,,No,,No,No,
 Wagenmakersstraat 18  ,8310,Assebroek,house,Residence,389.000,sale,3,225 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Koolstuk 28  ,8310,Assebroek,house,Residence,315.000,sale,2,162 m²,Yes,Yes,Yes,Yes,No,,Yes,No,
 Maasfortbaan 18  ,2500,Lier,house,Residence,799.000,sale,4,292 m²,Yes,No,Yes,,No,,Yes,Yes,
 Valleistraat 171  ,9402,Meerbeke,house,Residence,450.000,sale,5,343 m²,No,Yes,No,,Yes,,Yes,No,No
 Rue Salinas 22B  ,5380,Noville-les-Bois,house,Residence,ne,sale,2,160 m²,Yes,No,No,,No,,809 m²,No,
 Dorpstraat 156 1 ,3060,Bertem,house,Residence,357.000,sale,4,136 m²,Yes,No,Yes,Yes,Yes,,,No,
 Eikvarenlaan 36  ,2950,Kapellen,house,Residence,265.000,sale,3,184 m²,No,Yes,Yes,,Yes,Yes,Yes,No,No
 Rue de la Paix 15 et 17  ,7321,Blaton,house,Residence,100.000,sale,4,,No,No,No,,No,,3,No,
    ,7370,Élouges,house,Residence,110.000,sale,3,124 m²,Yes,No,No,,No,,Yes,No,
 Rue Emile Vandervelde 301  ,7000,Mons,house,Residence,185.000,sale,3,158 m²,Yes,No,No,,No,,,No,
,6224,Wanfercée-Baulet,house,Residence,60.000,sale,2,90 m²,No,No,No,,No,,,No,
,6224,Wanfercée-Baulet,house,Residence,80.000,sale,2,90 m²,No,No,No,,No,,,No,
,6020,Dampremy,house,Residence,198.500,sale,4,186 m²,Yes,No,No,,No,,,No,
 Koningsstraat 69  ,3920,Lommel,house,Residence,329.500,sale,3,154 m²,No,No,No,,Yes,,,No,
 Reppelerweg 85  ,3990,Peer,house,Residence,409.000,sale,3,178 m²,No,No,Yes,,Yes,,,No,
 Molenweg 1  ,3294,Molenstede,house,Residence,315.000,sale,3,177 m²,No,Yes,Yes,Yes,Yes,Yes,,No,
 Rue Outre-l'Eau 23  ,7600,Péruwelz,house,Villa,235.000,sale,4,,Yes,No,No,,No,,4,No,
 Rue des Combattants 177  ,7972,Ellignies-Sainte-Anne,house,Villa,230.000,sale,3,,Yes,No,No,,No,,4,No,
,1150,Sint-Pieters-Woluwe,house,Villa,1.250.000,sale,5,280 m²,Yes,No,No,,Yes,,Yes,No,On contract
 Steenstraat 22  ,9340,Lede,house,Residence,315.000,sale,3,192 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
,4032,Chênée,house,Residence,185.000,sale,2,86 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
 Bosstraat 113  ,3930,Hamont,house,Villa,469.000,sale,3,298 m²,No,No,No,,Yes,,,No,
,9450,Denderhoutem,house,Mixed,295.000,sale,2,148 m²,No,Yes,Yes,,No,,Yes,No,
 Spanjestraat 64  ,8840,Oostnieuwkerke,house,Bungalow,425.000,sale,2,200 m²,No,No,Yes,,Yes,,,No,
,9450,Haaltert,house,Residence,225.000,sale,1,,No,No,Yes,,No,,Yes,No,
 Dijkstraat 1  ,2288,Bouwel,house,Residence,469.000,sale,3,185 m²,Yes,Yes,Yes,,No,,Yes,No,No
 Mandelstraat 26  ,8720,Dentergem,house,Residence,275.000,sale,3,177 m²,Yes,No,No,,No,,,No,2015
 Leeuwerikstraat 7  ,8800,Roeselare,house,Residence,ne,sale,4,200 m²,Yes,No,No,No,No,,,No,1963
 Dorpsstraat 65  ,9980,Sint-Laureins,house,Residence,235.000,sale,4,200 m²,Yes,No,No,No,No,,,No,1947
 Marktstraat 8  ,8810,Lichtervelde,house,Residence,275.000,sale,3,322 m²,Yes,No,No,No,No,,,No,1952
 James Ensorstraat 23  ,8800,Roeselare,house,Residence,230.000,sale,3,126 m²,Yes,No,No,No,No,,,No,1977
 Rue Léon Hanozet 10  ,5310,Bolinne,house,Residence,250.000,sale,3,155 m²,Yes,Yes,Yes,Yes,Yes,,Yes,No,On contract
 Geelsebaan 11/1  ,2430,Laakdal,house,Residence,330.000,sale,3,170 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2009
 Spinolarei 20  ,8000,Brugge,house,Master,2.200.000,sale,5,605 m²,Yes,No,No,,No,,,No,
 Noordstraat 16  ,9961,Boekhoute,house,Residence,ne,sale,3,220 m²,Yes,No,No,,Yes,,Yes,No,2021
 Antwerpsesteenweg 30  ,2630,Aartselaar,house,Residence,100.000,sale,4,266 m²,No,No,No,,No,,,No,
,6690,Vielsalm,house,Residence,355.000,sale,3,219 m²,No,No,Yes,Yes,No,,Yes,No,
 Rue de l'Abbé 16 A ,6183,Trazegnies,house,Mixed,359.000,sale,3,266 m²,No,Yes,Yes,,No,,Yes,No,
 Rue Destrée 5  ,6030,Marchienne-au-Pont,house,Residence,99.000,sale,2,100 m²,Yes,No,Yes,,No,,Yes,No,
 Kortrijkse heerweg 80  ,8540,Deerlijk,house,Residence,650.000,sale,4,290 m²,No,No,No,,No,,Yes,No,1973
    ,6031,Monceau-sur-Sambre,house,Residence,150.000,sale,3,155 m²,Yes,No,No,,No,,,No,
 Tabakbergstraat 11a  ,3080,Tervuren,house,Residence,249.000,sale,3,114 m²,Yes,No,No,,No,,No,No,
 Guldendal 24  ,2800,Mechelen,house,Residence,325.000,sale,3,157 m²,Yes,No,Yes,Yes,No,,Yes,No,No
,1853,Strombeek-Bever,house,Residence,579.000,sale,4,270 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
,6593,Macquenoise,house,Villa,150.000,sale,3,100 m²,Yes,No,No,,No,,,No,
 Rue de Warquignies 244  ,7301,Hornu,house,Residence,199.000,sale,4,155 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,
 Izegemseaardeweg 57  ,8800,Roeselare,house,Residence,282.793,sale,3,,No,No,No,,No,,,No,2021
 Bloemkoolstraat 35  ,8800,Roeselare,house,Residence,291.000,sale,3,,No,No,No,,No,,,No,2021
 Bloemkoolstraat 39  ,8800,Roeselare,house,Residence,263.515,sale,3,,No,No,No,,No,,,No,2021
 Bloemkoolstraat 31  ,8800,Roeselare,house,Residence,290.731,sale,3,,No,No,No,,No,,,No,2021
 Marktstraat 6  ,8510,Marke,house,Residence,124.500,sale,3,,No,No,No,,No,,,No,
    ,6200,Bouffioulx,house,Residence,86.000,sale,2,80 m²,Yes,No,No,,No,,,No,
 Breedstraat 163  ,9100,Sint-Niklaas,house,Residence,299.000,sale,3,,No,No,Yes,Yes,Yes,Yes,Yes,No,
 Rue des Coquelicots 82  ,4020,Liege,house,Residence,254.500,sale,3,165 m²,No,Yes,Yes,,No,,Yes,No,No
 Gooreind 19  ,2440,Geel,house,Residence,269.000,sale,3,190 m²,No,No,Yes,,No,,Yes,No,
,1700,Dilbeek,house,Residence,449.500,sale,3,89 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,On contract
 Goorweg 77  ,2220,Heist-op-den-Berg,house,Residence,245.000,sale,3,158 m²,Yes,Yes,No,,No,,74 m,No,On contract
 Schuttersstraat 15  ,8500,Kortrijk,house,Residence,140.000,sale,2,75 m²,Yes,No,No,,No,,Yes,No,
 Rue des sarazins 4  ,5020,Champion,house,Residence,399.000,sale,3,243 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Bissegemsestraat 137  ,8501,Bissegem,house,Residence,219.000,sale,4,154 m²,No,No,No,,No,,,No,
 Jozef Meganckstraat 35  ,9300,Aalst,house,Residence,180.000,sale,3,180 m²,Yes,No,No,,No,,Yes,No,1950
 Rozenstraat 46  ,9160,Lokeren,house,Residence,235.000,sale,3,,No,No,No,,No,,145 m²,No,
 Daknamstraat 28  ,9160,Lokeren,house,Residence,249.000,sale,2,,No,No,No,,No,,268 m²,No,
 Edingensesteenweg 49  ,1500,Halle,house,Residence,325.000,sale,5,170 m²,No,No,Yes,,Yes,,,No,
 Hoogveld 10  ,2580,Beerzel,house,Residence,375.000,sale,3,160 m²,Yes,Yes,Yes,,No,,Yes,No,No
,7170,La Hestre,house,Residence,145.000,sale,2,186 m²,No,No,Yes,,No,,Yes,No,
 Steenbakkerstraat 54  ,8400,Oostende,house,Residence,158.000,sale,2,116 m²,Yes,No,No,,Yes,,,No,
 Avenue Leopold III 71  ,1970,Wezembeek-Oppem,house,Residence,449.000,sale,2,168 m²,Yes,Yes,Yes,,No,,Yes,No,No
 Stationsstraat 126  ,9280,Lebbeke,house,Residence,200.000,sale,4,185 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,
 Vaartstraat 45  ,2845,Niel,house,Residence,250.000,sale,3,110 m²,Yes,No,No,,No,,,No,1921
 Pieter Cornelisstraat 61  ,1601,Ruisbroek,house,Residence,315.000,sale,4,160 m²,No,No,No,,Yes,,,No,
 Abraham Hansstraat 14  ,8650,Houthulst,house,Residence,295.000,sale,3,130 m²,Yes,No,No,No,No,,No,No,On contract
 Stationstraat 11  ,2845,Niel,house,Residence,269.000,sale,3,163 m²,Yes,No,No,,No,,Yes,No,
 Koolkapperstraat 37  ,9000,Gent,house,Residence,375.000,sale,3,135 m²,No,No,No,,Yes,Yes,Yes,No,On contract
,1560,Hoeilaart,house,Residence,360.000,sale,4,128 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,On contract
 Nieuwdorp 7  ,9190,Stekene,house,Residence,225.000,sale,2,126 m²,Yes,No,No,,No,,Yes,No,On contract
 Fabriekstraat 141  ,3950,Bocholt,house,Residence,269.000,sale,3,182 m²,Yes,No,No,,No,No,No,No,On contract
 Tweekerkenstraat 131  ,9620,Zottegem,house,Villa,419.000,sale,3,225 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
 Karnemelkstraat 22  ,8750,Zwevezele,house,Villa,362.000,sale,3,,No,No,No,,No,,,No,2015
,1180,Ukkel,house,Villa,995.000,sale,4,230 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2005
 Hondsmertjesstraat 34  ,8870,Izegem,house,Residence,325.000,sale,4,297 m²,Yes,No,No,,No,,,No,1945
,1140,Evere,house,Residence,549.000,sale,5,200 m²,No,No,Yes,Yes,No,,Yes,No,
 Walzegem 32  ,9860,Balegem,house,Residence,679.000,sale,3,,No,No,No,,No,,Yes,No,2015
 Tuindelle 56  ,3090,Overijse,house,Residence,395.000,sale,2,200 m²,Yes,No,No,,No,,Yes,No,1979
 Rue Machine ? Feu 21  ,7100,La Louvière,house,Residence,90.000,sale,2,,No,No,No,,No,,,No,
 Kampstraat 2  ,8840,Staden,house,Residence,256.365,sale,3,,No,No,No,,No,,Yes,No,
 Henry Dunantstraat 6  ,8760,Meulebeke,house,Residence,ne,sale,3,,No,No,No,,No,,Yes,No,
 Grote Molenstraat 67  ,8930,Lauwe,house,Residence,135.000,sale,3,,No,No,No,,No,,,No,
 Diestsestraat 253  ,3270,Scherpenheuvel-Zichem,house,Villa,1.545.000,sale,2,368 m²,Yes,No,Yes,Yes,No,,Yes,No,2016
