Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
,1150,Sint-Pieters-Woluwe,apartment,Flat,1.250,rent,2,60 m²,No,No,No,,No,,2,No,
,5100,Jambes,apartment,Flat,680,rent,2,70 m²,Yes,No,No,,No,,,No,
 Handelskaai 1b 23 ,8500,Kortrijk,apartment,Flat,525,rent,50 m²,50 m²,Yes,No,No,,No,,,No,1980
,5100,Jambes,apartment,Flat,550,rent,1,55 m²,Yes,No,No,,No,,,No,
 Parkstraat 70 101 ,8730,Beernem,apartment,Flat,675,rent,2,96 m²,No,No,No,,No,,Yes,No,2018
 Boulevard Poincaré 71  ,1000,Brussels,apartment,Flat,645.000,sale,3,160 m²,No,No,Yes,Yes,No,,,No,
 Boulevard Poincaré 71  ,1000,Brussels,apartment,Flat,365.000,sale,2,110 m²,No,No,No,,No,,Yes,No,
 Boulevard Jacques Bertrand 42 091 ,6000,Charleroi,apartment,Flat,95.000,sale,2,91 m²,No,No,No,,No,,,No,
 Goedendaglaan 5  ,8500,Kortrijk,apartment,Flat,695,rent,3,100 m²,Yes,Yes,No,,No,,2,No,
 Rue de Bruxelles 30  ,5000,Namur,apartment,Flat,179.000,sale,1,77 m²,Yes,No,Yes,Yes,No,,Yes,No,1968
 Prins Leopoldstraat 20  ,9700,Oudenaarde,apartment,Flat,199.000,sale,2,96 m²,No,No,No,,No,,,No,
,1060,Sint-Gillis,apartment,Flat,950,rent,1,65 m²,Yes,No,No,No,No,,No,No,
,1310,La Hulpe,apartment,Flat,2.350,rent,2,157 m²,No,No,Yes,Yes,No,,Yes,No,1918
,1310,La Hulpe,apartment,Flat,1.750,rent,2,125 m²,No,No,Yes,Yes,No,,,No,1918
,1310,La Hulpe,apartment,Flat,1.850,rent,2,143 m²,No,No,Yes,Yes,No,,Yes,No,
,1310,La Hulpe,apartment,Flat,775,rent,1,52 m²,No,No,No,,No,,Yes,No,
 Christine D'Haenstraat 6 0205 ,8000,Brugge,apartment,Flat,700,rent,2,,No,No,No,No,No,,,No,
 Zultseweg 105 1.1 ,8790,Waregem,apartment,Flat,750,rent,3,,Yes,No,No,,No,,,No,
,3060,Bertem,apartment,Duplex,795,rent,3,130 m²,No,No,No,,Yes,Yes,,No,
 Rijksweg 362 2.02 ,8710,Wielsbeke,apartment,Flat,695,rent,3,133 m²,Yes,No,No,,No,,,No,2016
,1060,Sint-Gillis,apartment,Flat,550,rent,1,30 m²,Yes,No,No,,No,,No,No,
 Kruisenstraat 37 A ,9270,Kalken,apartment,Duplex,890,rent,2,110 m²,Yes,No,Yes,,No,,,No,Immediately
,1180,Ukkel,apartment,Flat,1.120,rent,2,90 m²,Yes,Yes,Yes,Yes,No,,Yes,No,
 Hallesesteenweg 70 - 74 210 ,1650,Beersel,apartment,Flat,890,rent,1,60 m²,Yes,No,Yes,Yes,No,,,No,No
 Hallesesteenweg 70 - 74 210 ,1652,Alsemberg,apartment,Flat,890,rent,1,60 m²,Yes,No,Yes,Yes,No,,,No,No
 Rue Kessels 14 30 ,1030,Schaarbeek,apartment,Flat,850,rent,1,67 m²,No,No,Yes,,No,,Yes,No,No
,1410,Waterloo,apartment,Flat,995,rent,1,50 m²,Yes,No,Yes,,Yes,,,No,Immediately
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,249.500,sale,2,88 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,244.500,sale,2,88 m²,Yes,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,234.500,sale,2,89 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,319.500,sale,2,125 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,334.500,sale,2,117 m²,Yes,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,304.500,sale,2,117 m²,No,No,Yes,Yes,No,,,No,No
 Nijlense Steenweg 107  ,2270,Herenthout,apartment,Flat,239.500,sale,2,90 m²,Yes,No,Yes,Yes,No,,,No,No
 Doornzelestraat 23-31  ,9000,Gent,apartment,Flat,422.000,sale,2,107 m²,Yes,No,Yes,Yes,No,,Yes,No,2020
 Grotesteenweg-Zuid 26  ,9052,Zwijnaarde,apartment,Flat,351.500,sale,1,86 m²,Yes,No,Yes,Yes,No,,Yes,No,2022
 Grotesteenweg-Zuid 26  ,9052,Zwijnaarde,apartment,Flat,400.000,sale,2,102 m²,Yes,No,Yes,Yes,No,,Yes,No,2022
 Hoogkouter 30  ,9810,Eke,apartment,Ground,338.500,sale,3,106 m²,No,No,Yes,Yes,No,,Yes,No,
,1000,Brussels,apartment,Penthouse,340.000,sale,1,62 m²,Yes,No,No,,No,,,No,No
